"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"AvoidUnauthorizedGetSessionIdInApex","pmd",3,"AppExchange,Security,Apex","force-app/main/default/classes/SessionId.cls",3,41,3,64,"User of UserInfo.getSessionId might not be authorized","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#avoidunauthorizedgetsessionidinapex"
"AvoidUnauthorizedApiSessionIdInVisualforce","pmd",3,"AppExchange,Security,Visualforce","force-app/main/default/pages/sessionId.page",1,45,1,60,"Retrieval of session ID using API.Session_ID is not authorized.","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/rules-pmd-appexchange.html#avoidunauthorizedapisessionidinvisualforce"
